price,resid_area,air_qual,room_num,age,distance,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,waterbody,rainfall,bus_ter,Sold
24,32.31,0.538,6.575,65.2,4.35,24.7,4.98,YES,5.48,11.192,River,23,YES,0
21.6,37.07,0.469,6.421,78.9,4.99,22.2,9.14,NO,7.332,12.1728,Lake,42,YES,1
34.7,37.07,0.469,7.185,61.1,5.03,22.2,4.03,NO,7.394,101.12,None,38,YES,0
33.4,32.18,0.458,6.998,45.8,6.21,21.3,2.94,YES,9.268,11.2672,Lake,45,YES,0
36.2,32.18,0.458,7.147,54.2,6.16,21.3,5.33,NO,8.824,11.2896,Lake,55,YES,0
28.7,32.18,0.458,6.43,58.7,6.22,21.3,5.21,YES,7.174,14.2296,None,53,YES,1
22.9,37.87,0.524,6.012,66.6,5.87,24.8,12.43,YES,6.958,12.1832,River,41,YES,1
22.1,37.87,0.524,6.172,96.1,6.04,24.8,19.15,NO,5.842,12.1768,Lake,56,YES,1
16.5,37.87,0.524,5.631,100,6.18,24.8,29.93,YES,5.93,12.132,None,55,YES,0
18.9,37.87,0.524,6.004,85.9,6.67,24.8,17.1,YES,9.478,14.1512,River,45,YES,0
15,37.87,0.524,6.377,94.3,6.65,24.8,20.45,NO,6,11.12,Lake,29,YES,1
18.9,37.87,0.524,6.009,82.9,6.27,24.8,13.27,NO,9.278,13.1512,Lake and River,23,YES,1
21.7,37.87,0.524,5.889,39,5.76,24.8,15.71,YES,5.534,10.1736,Lake and River,57,YES,1
20.4,38.14,0.538,5.949,61.8,4.72,19,8.26,YES,5.908,14.1632,None,39,YES,0
18.2,38.14,0.538,6.096,84.5,4.6,19,10.26,NO,6.964,13.1456,None,49,YES,0
19.9,38.14,0.538,5.834,56.5,4.6,19,8.47,YES,8.498,14.1592,River,28,YES,0
23.1,38.14,0.538,5.935,29.3,4.66,19,6.58,NO,5.462,10.1848,None,46,YES,0
17.5,38.14,0.538,5.99,81.7,4.56,19,14.67,NO,5.45,11.14,Lake,56,YES,1
20.2,38.14,0.538,5.456,36.6,3.8,19,11.69,YES,8.504,12.1616,Lake and River,41,YES,0
18.2,38.14,0.538,5.727,69.5,3.98,19,11.28,NO,8.564,12.1456,Lake and River,27,YES,1
13.6,38.14,0.538,5.57,98.1,3.93,19,21.02,YES,8.272,15.1088,Lake and River,44,YES,0
19.6,38.14,0.538,5.965,89.2,4.11,19,13.83,YES,9.192,14.1568,None,23,YES,0
15.2,38.14,0.538,6.142,91.7,4.18,19,18.72,YES,5.804,14.1216,River,48,YES,1
14.5,38.14,0.538,5.813,100,4.35,19,19.88,YES,7.49,13.116,Lake,29,YES,0
15.6,38.14,0.538,5.924,94.1,4.69,19,16.3,YES,8.212,13.1248,Lake,27,YES,1
13.9,38.14,0.538,5.599,85.7,4.69,19,16.51,YES,9.378,13.1112,River,35,YES,0
16.6,38.14,0.538,5.813,90.3,4.94,19,14.81,NO,9.732,12.1328,Lake,59,YES,1
14.8,38.14,0.538,6.047,88.8,4.5,19,17.28,YES,8.696,13.1184,Lake,20,YES,1
18.4,38.14,0.538,6.495,94.4,4.57,19,12.8,YES,5.968,15.1472,River,35,YES,1
21,38.14,0.538,6.674,87.3,4.53,19,11.98,NO,9.02,12.168,River,50,YES,0
12.7,38.14,0.538,5.713,94.1,4.52,19,22.6,NO,9.854,12.1016,Lake,34,YES,0
14.5,38.14,0.538,6.072,100,4.39,19,13.04,YES,9.29,12.116,None,23,YES,1
13.2,38.14,0.538,5.95,82,4.01,19,27.71,NO,8.764,14.1056,River,25,YES,0
13.1,38.14,0.538,5.701,95,3.8,19,18.35,YES,8.362,15.1048,None,25,YES,1
13.5,38.14,0.538,6.096,96.9,4.07,19,20.34,YES,9.67,11.108,None,40,YES,0
18.9,35.96,0.499,5.933,68.2,3.69,20.8,9.68,YES,9.478,11.1512,River,43,YES,1
20,35.96,0.499,5.841,61.4,3.39,20.8,11.41,NO,7.5,15.16,None,39,YES,0
21,35.96,0.499,5.85,41.5,3.98,20.8,8.77,YES,8.12,10.168,River,21,YES,0
24.2,35.96,0.499,5.966,30.2,4.15,20.8,10.13,YES,8.184,10.1936,River,21,YES,1
30.8,32.95,0.428,6.595,21.8,5.65,21.7,4.32,YES,6.916,12.2464,River,49,YES,1
34.9,32.95,0.428,7.024,15.8,5.63,21.7,1.98,YES,6.198,15.2792,River,20,YES,1
26.6,36.91,0.448,6.77,2.9,5.77,22.1,4.84,NO,7.732,13.2128,Lake and River,30,YES,1
25.3,36.91,0.448,6.169,6.6,5.93,22.1,5.81,NO,8.106,15.2024,River,52,YES,1
24.7,36.91,0.448,6.211,6.5,6.04,22.1,7.44,YES,6.094,15.1976,River,56,YES,1
21.2,36.91,0.448,6.069,40,5.81,22.1,9.55,NO,9.024,12.1696,River,53,YES,0
19.3,36.91,0.448,5.682,33.8,5.23,22.1,10.21,NO,8.086,11.1544,River,21,YES,0
20,36.91,0.448,5.786,33.3,5.25,22.1,14.15,YES,9.3,12.16,Lake,39,YES,0
16.6,36.91,0.448,6.03,85.5,5.83,22.1,18.8,YES,5.332,12.1328,River,44,YES,0
14.4,36.91,0.448,5.399,95.3,5.98,22.1,30.81,NO,7.088,14.1152,None,34,YES,0
19.4,36.91,0.448,5.602,62,6.11,22.1,16.2,NO,5.988,13.1552,Lake and River,45,YES,0
19.7,35.64,0.439,5.963,45.7,7.08,23.2,13.45,YES,,11.1576,River,21,YES,1
20.5,35.64,0.439,6.115,63,7.04,23.2,9.43,YES,7.01,11.164,Lake,30,YES,1
25,35.64,0.439,6.511,21.1,7.02,23.2,5.28,NO,9.9,14.2,River,56,YES,1
23.4,35.64,0.439,5.998,21.4,6.89,23.2,8.43,NO,9.168,11.1872,River,41,YES,1
18.9,34,0.41,5.888,47.6,7.4,18.9,14.8,YES,8.678,15.1512,None,55,YES,0
35.4,31.22,0.403,7.249,21.9,8.9,22.1,4.81,YES,7.508,13.2832,River,50,YES,0
24.7,30.74,0.41,6.383,35.7,9.32,22.7,5.77,YES,5.794,15.1976,Lake,22,YES,0
31.6,31.32,0.411,6.816,40.5,8.63,24.9,3.95,YES,7.432,15.2528,Lake,45,YES,0
23.3,35.13,0.453,6.145,29.2,7.98,20.3,6.86,NO,7.866,14.1864,None,22,YES,0
19.6,35.13,0.453,5.927,47.2,7.26,20.3,9.22,YES,6.192,14.1568,None,20,YES,0
18.7,35.13,0.453,5.741,66.2,7.33,20.3,13.15,NO,7.974,11.1496,River,30,YES,0
16,35.13,0.453,5.966,93.4,6.84,20.3,14.44,NO,6.22,15.128,River,48,YES,1
22.2,35.13,0.453,6.456,67.8,7.55,20.3,6.73,YES,5.844,10.1776,None,56,YES,0
25,35.13,0.453,6.762,43.4,8.23,20.3,9.5,YES,5.9,13.2,Lake and River,28,YES,0
33,31.38,0.4161,7.104,59.5,9.44,21.4,8.05,YES,8.26,10.264,Lake and River,30,YES,0
23.5,33.37,0.398,6.29,17.8,6.62,23.9,4.67,NO,9.47,12.188,River,20,YES,1
19.4,33.37,0.398,5.787,31.1,6.7,23.9,10.24,NO,8.988,11.1552,Lake and River,44,YES,0
22,36.07,0.409,5.878,21.4,6.64,21.1,8.1,YES,7.14,13.176,River,29,YES,0
17.4,36.07,0.409,5.594,36.8,6.51,21.1,13.09,NO,8.848,15.1392,River,40,YES,1
20.9,36.07,0.409,5.885,33,6.55,21.1,8.79,NO,8.318,11.1672,Lake,56,YES,0
